"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Indexing in WoT to Locate Indoor Things","M. R. Faheem; T. Anees; M. Hussain; A. Ditta; H. Alquhayz; M. A. Khan","School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Information Sciences, Division of Science and Technology, University of Education, Lahore, Pakistan; Department of Computer Science and Information, College of Science, Zulfi, Majmaah University, Al-Majma’ah, Saudi Arabia; School of Information Technology, Skyline University College, University City Sharjah, Sharjah, United Arab Emirates",IEEE Access,"7 Jun 2023","2023","11","","53497","53517","The Web of Things (WoT) is an enhanced form of the Internet of Things (IoT) that has changed the trend of life nowadays. Due to IoT, life is transformed into smart life, such as smart buildings, smart vehicles, smart agriculture, smart businesses, etc., by connecting a certain number of things to the internet. Many people are now working on ways to locate indoor things to interact and exchange data between smart things and web services and apps, which is called “WoT,” or “Web of Things.” To interact and exchange the data, researchers need a search engine on WoT. However, locating indoor things in the Web of Things (WoT) remains a challenge due to the lack of a unified indexing system. In this research, we propose a novel approach to index indoor things in the WoT by leveraging machine learning and web technologies. Our approach includes a data preprocessing step, where we extract relevant features from the sensor data, followed by a clustering algorithm to group similar devices. We then use a semantic model to assign meaning to the clusters and develop a search engine to enable efficient searching of indoor things. Our proposed approach improves the accuracy and efficiency of locating indoor things in the WoT, paving the way for new applications in smart homes, healthcare, and industrial automation.","2169-3536","","10.1109/ACCESS.2023.3272691","Deanship of Scientific Research at Majmaah University(grant numbers:R-2023-376); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10114802","Naïve Bayes;cluster;crawling;indexing;indoor things;things indexer;symbolic data","Indexing;Internet of Things;Search engines;Fingerprint recognition;Distributed databases;Calibration;Wireless fidelity","","1","","71","CCBYNCND","3 May 2023","","","IEEE","IEEE Journals"
"The Web of Things: Findability Taxonomy and Challenges","M. R. Faheem; T. Anees; M. Hussain","School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; School of Systems and Technology, University of Management and Technology, Lahore, Pakistan",IEEE Access,"2 Jan 2020","2019","7","","185028","185041","Due to an increase in the number of devices, the Web of Things (WoT) has attracted a great deal of attention and focus from researchers in the past few years. The ultimate goal of Web of Things is to build an ideal search engine where the user or even devices can find other devices anywhere and at any time for using the resources of other devices. The purpose of the paper is to identify and to present the current research on Web of Things. Additionally, the paper focuses on the research gap that currently exists and on future needs in the domain of WoT. In Author's opinion, the literature review presented in the paper will effectively help the researchers in finding resources in WoT as it highlights the research gap in the domain of Web of Things and searching resources in WoT. The results of the review indicate that the current challenges for the Web of Things are dynamic searching, scalability, data integration, intent-based searching, etc. The focus of this paper is on dynamic searching.","2169-3536","","10.1109/ACCESS.2019.2960446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935107","Indexing;ranking;crawling;IoT;WoT;things model;schema;use-cases;JSON-LD;RDF","Monitoring;Internet of Things;Temperature sensors;Smart cities;Temperature measurement;Taxonomy;Scalability","","42","","52","CCBY","17 Dec 2019","","","IEEE","IEEE Journals"
"The Web of Things: Challenges and Opportunities","D. Raggett",N3C and the University of the West of England,Computer,"22 May 2015","2015","48","5","26","32","As billions of devices connect to the Internet, a new Web of Things is emerging, with virtual representations of physical or abstract realities increasingly accessible via Web technologies. Achieving a new phase of exponential growth, comparable to the earliest days of the Web, will require open markets, open standards, and the vision to imagine the potential for this expanding WoT.","1558-0814","","10.1109/MC.2015.149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7111885","Internet of things;cryptography;history of computing;artificial intelligence;Web technologies;security;cloud;cyber-physical systems;open standards;W3C","Standards;Protocols;Computer security;Internet;Internet of things;Interoperability;Virtualization","","76","","8","IEEE","22 May 2015","","","IEEE","IEEE Magazines"
"A Framework for IoT Streaming Data Indexing and Query Optimization","Q. -T. Doan; A. S. M. Kayes; W. Rahayu; K. Nguyen","Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia",IEEE Sensors Journal,"14 Jul 2022","2022","22","14","14436","14447","Streaming data are continuously generated by multiple Internet of Things (IoT) sources, e.g., sensors, mobile devices, etc., and sent simultaneously to relevant applications to be processed in real time in a continuous and timely fashion. Existing research has dealt with the integration of IoT streaming data from multiple sources. Some of the earlier research introduced models to facilitate streaming data compression and the subsequent indexing. However, as IoT data come from multiple sensors and differ in terms of variety and velocity, there is still an urgent need to build an efficient indexing mechanism so that we can optimise responses to users’ queries. In this research, we identify a variety of queries from different motivating scenarios and develop a framework to optimise the way to access and retrieve IoT streaming data to respond to the users’ queries. To this end, (i) a streaming data scenario is analysed, and (ii) an optimisation framework with indexing schemes from multiple sources are introduced, and (iii) some common and illustrative queries are presented to explain optimisation. Finally, a set of experiments on five queries is performed to illustrate the ability of the optimisation framework in a wide range of different scenarios. The results prove that the proposed optimisation framework is much better than the existing IoT data integration and indexing frameworks.","1558-1748","","10.1109/JSEN.2022.3149901","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706487","Internet of Things;data integration;data indexing;data compression;query optimization","Indexing;Optimization;Data models;Real-time systems;Internet of Things;Hidden Markov models;Data integration","","2","","25","IEEE","7 Feb 2022","","","IEEE","IEEE Journals"
"FMCPR: Flexible Multiparameter-Based Channel Prediction and Ranking for CR-Enabled Massive IoT","G. Abbas; A. U. Khan; Z. H. Abbas; M. Bilal; K. S. Kwak; H. Song","Telecommunications and Networking Research Center, Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, Topi, Pakistan; Telecommunications and Networking Research Center, Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, Topi, Pakistan; Faculty of Electrical Engineering, Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, Topi, Pakistan; Department of Computer and Electronics Systems Engineering, Hankuk University of Foreign Studies, Seoul, South Korea; Department of Information and Communication Engineering, Inha University, Incheon, South Korea; Security and Optimization for Networked Globe Laboratory, Embry–Riddle Aeronautical University, Daytona Beach, FL, USA",IEEE Internet of Things Journal,"6 May 2022","2022","9","10","7151","7165","The cognitive radio-enabled  $massive$  Internet of Things (CR- $m$ IoT) is envisioned to shape the future of densely connected IoT devices in the sixth-generation networks to support the hyperconnected society. In conventional CR networks, secondary users (SUs) sense the whole block of spectrum to find idle channels, which is an energy-consuming, delay-inducing, and processing-intensive task. With the large scale of resource-constrained heterogeneous devices in CR- $m$ IoT, the sensing process becomes a major hurdle for CR- $m$ IoT devices to achieve efficient utilization of the limited device and network resources. Thus, a novel multiparameter-based flexible scheme is proposed for idle channel prediction and channel ranking, which considers priorities as well as heterogeneity of users. The scheme uses a probabilistic approach and employs multiple parameters simultaneously to evaluate the suitability of a channel before selecting it for transmission. In addition, valid channel obsolescence, a major problem inherent with channel prediction and ranking, is countered by the proposed scheme. The scheme is evaluated under the impact of variable primary and SUs’ arrivals and under multiple channel failures rates and variable sensing and frame time duration. The proposed scheme is also compared with its own modified version that disregards channel failures, and with the random channel selection approach followed by IEEE 802.22. The overall evaluation is conducted under realistic spectrum sensing. Simulation results show that for different parameter values, the proposed scheme improves the collision probability by 11%–55%, reduces sensing time and energy by 60% and 65%, respectively, and enhances throughput by 4%–70%, and spectrum utilization efficiency by 11%–40%.","2327-4662","","10.1109/JIOT.2021.3084677","National Research Foundation of Korea-Grant funded by the Korean Government (Ministry of Science and ICT)(grant numbers:NRF-2020R1A2B5B02002478); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444285","Channel prediction;channel ranking;cognitive radio network (CRN);flexibility;massive Internet of Things (mIoT);resource allocation","Sensors;Quality of service;Throughput;Internet of Things;Voltage-controlled oscillators;Interference;Signal to noise ratio","","6","","42","IEEE","28 May 2021","","","IEEE","IEEE Journals"
"VSA-SD: A Service Discovery Method Based on Vector Symbol Architecture for Low-Cost IoT System Development","H. Chen; L. Wang; W. Qin; X. Zhou; L. Cui","Faculty of Electrical Engineering and Computer Science, Zhejiang Key Laboratory of Mobile Network Application Technology, Ningbo University, Zhejiang, China; Faculty of Electrical Engineering and Computer Science, Zhejiang Key Laboratory of Mobile Network Application Technology, Ningbo University, Zhejiang, China; Faculty of Electrical Engineering and Computer Science, Zhejiang Key Laboratory of Mobile Network Application Technology, Ningbo University, Zhejiang, China; Faculty of Electrical Engineering and Computer Science, Zhejiang Key Laboratory of Mobile Network Application Technology, Ningbo University, Zhejiang, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Cloud Computing,"7 Mar 2024","2024","12","1","145","158","In recent years, with the widening applications of the Internet of Things (IoT), more and more perception services (e.g., air quality indicator services, road traffic congestion monitoring services, etc) with different arguments (e.g., data type, source location, creator, etc) will be deployed by dedicated IT infrastructure service providers for constructing customized IoT systems with low cost by subscription. So it is an indispensable step to check whether the required perception services with specified arguments have been available for the constructing IoT through discovery method to reduce the redundancy of service deployment. However, it is a challenging problem to design efficient (i.e., achieving high accuracy and low response delay with low overhead), highly robust, and trustworthy mechanisms for discovering perception services on resource-constrained IoT devices. To solve this problem, we proposed a distributed service discovery method, named VSA-SD, based on the Vector Symbolic Architecture (VSA). This method employs hyperdimensional vectors to describe services in a distributed manner, and measures the degree of service matching by calculating the Hamming distance, thereby achieving service discovery. We implemented VSA-SD in NBUFlow, which is an IoT task construction and offloading test platform, and evaluated its performance through comprehensive experiments. Results show that VSA-SD outperforms the centralized, hybrid, and other distributed service discovery mechanisms in terms of accuracy, response delay, overhead, robustness, trustability, interoperability, and mobility.","2168-7161","","10.1109/TCC.2023.3344512","Natural Science Foundation of Zhejiang Province(grant numbers:Y24F020025); Ningbo Municipal Commonweal S&T(grant numbers:2022S005); Ningbo High-tech Zone(grant numbers:2022BCX05001); National Natural Science Foundation of China(grant numbers:62002183); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10365580","Internet of things (IoT);service discovery;vector symbol architecture","Internet of Things;Cloud computing;Delays;Computer architecture;Task analysis;Peer-to-peer computing;Scalability","","","","39","IEEE","19 Dec 2023","","","IEEE","IEEE Journals"
"Integration of IoT Streaming Data With Efficient Indexing and Storage Optimization","Q. -T. Doan; A. S. M. Kayes; W. Rahayu; K. Nguyen","Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia",IEEE Access,"18 Mar 2020","2020","8","","47456","47467","In the era of IoT, the world of connected experiences is created by the convergence of multiple technologies including real-time analytics, machine learning, and commodity sensors and embedded systems. However, with the proliferation of these IoT technologies and devices, there are challenges in integrating, indexing and managing time-series data from multiple sources to optimize the storage of those data and/or retrieve the information from them in real-time. Many researchers have addressed the data integration issue through developing time-series data compression techniques; however, they focused mainly on the application of integer value compression to IoT data. Moreover, existing work does not focus on the issues of data and information retrieval without decompression. In this paper, we solve these issues by constructing an indexing framework within a lossless compression for floating point time-series data, where an index is based on the time-stamp from the compressed data that facilitates the search for data without full decompression. We conduct several sets of experiments and quantify the performance of our proposed approach. The experimental results, performed on IoT datasets, show a reduction in storage compared with existing compression techniques. The experimental study also demonstrates the capability of time-series data indexing and integration in real-time.","2169-3536","","10.1109/ACCESS.2020.2980006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9032170","Data integration;indexing;time-series data compression;floating point compression;decompression;IoT streaming data;window-based compression and integration","Indexing;Data integration;Data compression;Real-time systems;Time series analysis;Artificial intelligence","","20","","31","CCBY","11 Mar 2020","","","IEEE","IEEE Journals"
"Searching for the IoT Resources: Fundamentals, Requirements, Comprehensive Review, and Future Directions","S. Pattar; R. Buyya; K. R. Venugopal; S. S. Iyengar; L. M. Patnaik","Department of Computer Science and Engineering, University Visvesvaraya College of Engineering, Bangalore University, Bengaluru, India; Cloud Computing and Distributed Systems Laboratory, School of Computing and Information Systems, University of Melbourne, Melbourne, VIC, Australia; Department of Computer Science and Engineering, University Visvesvaraya College of Engineering, Bangalore University, Bengaluru, India; Department of Computer Science and Engineering, Florida International University, Miami, FL, USA; Consciousness Studies Program, National Institute of Advanced Studies, Indian Institute of Science, Bengaluru, India",IEEE Communications Surveys & Tutorials,"21 Aug 2018","2018","20","3","2101","2132","Internet of Things (IoT) paradigm links physical objects in the real world to cyber world and enables the creation of smart environments and applications. A physical object is the fundamental building block of the IoT, known as a Smart Device, that can monitor the environment. These devices can communicate with each other and have data processing abilities. When deployed, smart devices collect real-time data and publish the gathered data on the Web. The functionality of smart devices can be abstracted as a service and an IoT application can be built by combining the smart devices with these services that help to address challenges of day-to-day activities. The IoT comprises billions of these intelligent communicating devices that generate enormous amount of data, and hence performing analysis on this data is a significant task. Using search techniques, the size and extent of data can be reduced and limited, so that an application can choose just the most important and valuable data items as per its necessities. It is, however, a tedious task to effectively seek and select a proper device and/or its data among a large number of available devices for a specific application. Search techniques are fundamental to IoT and poses various challenges like a large number of devices, dynamic availability, restrictions on resource utilization, real time data in various types and formats, past and historical monitoring. In the recent past, various methods and techniques have been developed by the research community to address these issues. In this paper, we present a review of the state-of-the-art search methods for the IoT, classifying them according to their design principle and search approaches as: IoT data and IoT object-based techniques. Under each classification, we describe the method adopted, their advantages and disadvantages. Finally, we identify and discuss key challenges and future research directions that will allow the next generation search techniques to recognize and respond to user queries and satisfy the information needs of users.","1553-877X","","10.1109/COMST.2018.2825231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8334540","Internet of Things;ranking and indexing;resource discovery;search and selection;search challenges;search requirements;service discovery","Search problems;Middleware;Smart devices;Tutorials;Real-time systems;Monitoring;Electronic mail","","145","","197","IEEE","10 Apr 2018","","","IEEE","IEEE Journals"
"Secure IoT Search Engine: Survey, Challenges Issues, Case Study, and Future Research Direction","W. G. Hatcher; C. Qian; F. Liang; W. Liao; E. P. Blasch; W. Yu","Department of Computer and Information Science, Towson University, Towson, MD, USA; Department of Computer and Information Science, Towson University, Towson, MD, USA; Department of Computer Science, Sam Huston State University, Huntsville, TX, USA; Department of Computer and Information Science, Towson University, Towson, MD, USA; Air Force Research Laboratory, Arlington, DC, USA; Department of Computer and Information Science, Towson University, Towson, MD, USA",IEEE Internet of Things Journal,"7 Sep 2022","2022","9","18","16807","16823","The Internet of Things (IoT) encompasses a near-incalculable collection of dispersed and embedded computing devices acting as sensors and actuators, generating data at an incredible scale. However, a lack of coherency and cross-compatibility in IoT deployments has lead to increasing redundancy and waste of resources. To combat this, various concepts have been proposed for an open IoT search engine (IoT-SE) that serves human and machine users. Invariably, the IoT-SE envisions distributed query retrieval to handle massive volumes of devices and data. Incorporating the massively heterogeneous protocols and properties of devices deployed, the search of such a system for timely and pertinent data is massively challenging, to provide useful knowledge and service for IoT systems. Moreover, enabling and maintaining security and privacy in an IoT-SE is likewise a prodigious task, as end users, IoT devices, and the search system itself, have different protocols and requirements. To this end, a study of security issues in IoT search is conducted to outline the challenges ahead, and a case study to resolve practical security vulnerabilities in an IoT-SE system is carried out. The pertinent issues of security in an IoT-SE system are reviewed. Particularly: 1) a taxonomy is detailed for IoT-SE security issues; 2) the vulnerabilities of machine learning (ML) models in the IoT-SE are considered; and 3) defensive mechanisms are presented for securing IoT Search. A case study is carried out to implement basic security features in the IoT search, addressing the risk of false queries through the design of ML-based solutions. Finally, a roadmap for future research is provided, including the security and privacy for IoT systems connected to the IoT-SE, distributed edge computing in IoT-SE, privacy-preserving data markets in IoT-SE, and distributed ML in IoT-SE.","2327-4662","","10.1109/JIOT.2022.3153171","Air Force Office of Scientific Research(grant numbers:FA9550-20-1-0418); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9718521","Internet of Things (IoT);knowledge and service;search engine;security","Security;Internet of Things;Logic gates;Search engines;Smart homes;Taxonomy;Real-time systems","","5","","94","IEEE","23 Feb 2022","","","IEEE","IEEE Journals"
"Context-Aware Service Discovery: Graph Techniques for IoT Network Learning and Socially Connected Objects","A. Hamrouni; A. Khanfor; H. Ghazzai; Y. Massoud","Innovative Technologies Laboratories (ITL), King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia; College of Computer Sciences & Information Systems, Najran University, Najran, Saudi Arabia; Innovative Technologies Laboratories (ITL), King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia; Innovative Technologies Laboratories (ITL), King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia",IEEE Access,"13 Oct 2022","2022","10","","107330","107345","Adopting Internet-of-things (IoT) in large-scale environments such as smart cities raises compatibility and trustworthiness challenges, hindering conventional service discovery and network navigability processes. The IoT network is known for its highly dynamic topology and frequently changing characteristics (e.g., the devices’ status, such as battery capacity and computational power); traditional methods fail to learn and understand the evolving behavior of the network to enable real-time and context-aware service discovery in such diverse and large-scale topologies of IoT networks. The Social IoT (SIoT) concept, which defines the relationships among the connected objects, can be exploited to extract established relationships between devices and enable trustworthy and context-aware services. In fact, SIoT expresses the possible connections that devices can establish in the network and reflect compatibility, trustworthiness, and so on. In this paper, we investigate the service discovery process in SIoT networks by proposing a low-complexity context-aware Graph Neural Network (GNN) approach to enable rapid and dynamic service discovery. Unlike the conventional graph-based techniques, the proposed approach simultaneously embeds the devices’ features and their SIoT relations. Our simulations on a real-world IoT dataset show that the proposed GNN-based approach can provide more concise clusters compared to traditional techniques, namely the Louvain and Leiden algorithms. This allows a better IoT network learning and understanding and also, speeds up the service lookup search space. Finally, we discuss implementing the GNN-assisted context-service discovery processes in novel smart city IoT-enabled applications.","2169-3536","","10.1109/ACCESS.2022.3212370","King Abdullah University of Science and Technology (KAUST); Ministry of Education, Saudi Arabia, and the Deanship of Scientific Research, Najran University(grant numbers:NU/RC/SERC/11/6); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9912428","Community detection;service discovery;graph neural networks;social Internet of Things","Smart cities;Security;Graph neural networks;Semantics;STEM;Context awareness;Social Internet of Things","","3","","70","CCBY","5 Oct 2022","","","IEEE","IEEE Journals"
